shot_id,frame,timestamp,player_id,team,x_position,y_position,court_zone,defender_distance,team_spacing,possession_id,possession_duration,made
1,868,14.481,8,white,1993,264,mid_range,200.0,0.0,174,3,
2,972,16.216,2,green,3057,208,corner_3,200.0,0.0,221,3,
3,1224,20.42,5,green,2395,253,mid_range,200.0,0.0,310,12,
4,1230,20.521,5,green,2395,253,mid_range,200.0,0.0,310,15,
5,1236,20.621,5,green,2395,253,mid_range,200.0,0.0,310,18,
6,1240,20.687,5,green,2395,253,mid_range,200.0,0.0,310,20,
7,1284,21.421,10,white,14,186,corner_3,200.0,0.0,311,7,
8,1298,21.655,10,white,14,186,corner_3,200.0,0.0,314,2,
9,1476,24.625,6,white,1637,253,backcourt,200.0,0.0,330,5,
10,1524,25.425,8,white,1993,264,mid_range,200.0,0.0,345,6,
11,1556,25.959,8,white,1993,264,mid_range,200.0,0.0,348,2,
12,2118,35.335,9,white,3049,223,corner_3,200.0,0.0,348,15,
13,2126,35.469,9,white,3049,223,corner_3,200.0,0.0,348,19,
14,2132,35.569,9,white,3049,223,corner_3,200.0,0.0,348,22,
15,2138,35.669,4,green,3036,328,3pt_arc,200.0,0.0,349,3,
16,2200,36.703,2,green,3057,208,corner_3,200.0,0.0,349,30,
17,2334,38.939,1,green,2115,569,mid_range,200.0,0.0,386,22,
18,2350,39.206,4,green,3036,328,3pt_arc,200.0,0.0,388,3,
19,2360,39.373,1,green,2115,569,mid_range,200.0,0.0,390,2,
20,2366,39.473,8,white,1993,264,mid_range,200.0,0.0,391,3,
21,2400,40.04,9,white,3049,223,corner_3,200.0,0.0,403,3,
22,2418,40.34,10,white,14,186,corner_3,200.0,0.0,408,2,
23,2604,43.443,3,green,1531,164,backcourt,200.0,0.0,469,3,
24,2674,44.611,9,white,3049,223,corner_3,200.0,0.0,491,11,
25,3658,61.028,5,green,2395,253,mid_range,200.0,0.0,572,3,
26,3802,63.43,9,white,3049,223,corner_3,200.0,0.0,632,3,
27,3862,64.431,9,white,3049,223,corner_3,200.0,71647.0,655,5,
28,4514,75.309,4,green,3036,328,3pt_arc,200.0,0.0,809,6,
29,5380,89.756,10,white,412,490,paint,200.0,0.0,1154,3,
30,6554,109.343,2,green,3119,35,corner_3,200.0,227288.5,1601,10,
31,6686,111.545,10,white,562,452,3pt_arc,200.0,0.0,1662,3,
32,6698,111.745,10,white,562,452,3pt_arc,200.0,0.0,1662,9,
33,8970,149.649,2,green,3119,35,corner_3,200.0,0.0,2559,3,
